id,horario_trabalho,biorritmo,nivel_escolaridade,gosta_ler,lugar_animado,gosta_cinema,animal_estimacao,cozinha,esporte,dieta_especial,fumador,recebe_visitas,organizada_relaxada,musica_tipo,musica_alto,plano_perfeito,instrumento
1,noite,noturno,medio,sim,nao,nao,nao,pedir,sim,sim,sim,sim,relaxada,funk,nao,casa,sim
2,noite,noturno,medio,nao,nao,nao,nao,pedir,nao,nao,sim,sim,relaxada,funk,sim,casa,sim
3,noite,madrugador,superior,nao,nao,sim,nao,pedir,nao,nao,sim,nao,organizada,sertanejo,nao,casa,nao
4,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,nao,nao,sim,relaxada,rock,sim,casa,sim
5,manha,noturno,superior,sim,nao,nao,sim,cozinhar,nao,nao,nao,nao,relaxada,sertanejo,nao,casa,nao
6,noite,madrugador,medio,nao,sim,nao,nao,cozinhar,sim,sim,sim,sim,relaxada,classica,sim,sair,sim
7,manha,madrugador,superior,sim,nao,nao,nao,cozinhar,nao,nao,nao,nao,organizada,sertanejo,nao,casa,nao
8,manha,madrugador,superior,sim,sim,nao,sim,cozinhar,sim,nao,nao,sim,organizada,rock,nao,casa,nao
9,manha,noturno,superior,nao,sim,nao,nao,cozinhar,sim,sim,sim,nao,relaxada,classica,sim,casa,sim
10,noite,madrugador,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,organizada,sertanejo,sim,sair,sim
11,manha,noturno,superior,sim,nao,sim,sim,cozinhar,nao,nao,nao,sim,organizada,sertanejo,nao,casa,nao
12,manha,noturno,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,sim
13,noite,madrugador,superior,nao,sim,nao,nao,pedir,nao,sim,sim,sim,relaxada,classica,sim,sair,sim
14,manha,madrugador,fundamental,sim,nao,sim,nao,cozinhar,sim,nao,sim,nao,relaxada,rock,nao,casa,nao
15,noite,noturno,fundamental,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,sim
16,noite,madrugador,superior,sim,nao,sim,sim,cozinhar,nao,nao,nao,nao,organizada,rock,nao,casa,nao
17,manha,madrugador,medio,sim,sim,sim,nao,cozinhar,nao,nao,nao,sim,organizada,sertanejo,nao,casa,nao
18,noite,noturno,superior,sim,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,rock,sim,casa,sim
19,manha,madrugador,superior,nao,nao,nao,sim,cozinhar,nao,nao,nao,nao,relaxada,classica,nao,casa,nao
20,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,classica,sim,casa,sim
21,manha,madrugador,fundamental,sim,nao,nao,sim,cozinhar,sim,nao,sim,sim,organizada,rock,nao,casa,nao
22,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,sim,sim,nao,nao,organizada,sertanejo,nao,casa,nao
23,noite,madrugador,medio,nao,sim,nao,nao,pedir,sim,sim,sim,nao,relaxada,sertanejo,sim,sair,sim
24,manha,madrugador,fundamental,sim,nao,sim,sim,pedir,nao,nao,nao,nao,organizada,rock,nao,casa,nao
25,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,classica,nao,sair,sim
26,manha,noturno,fundamental,nao,nao,sim,sim,cozinhar,nao,nao,nao,nao,relaxada,sertanejo,nao,casa,nao
27,noite,noturno,superior,nao,sim,sim,nao,pedir,nao,sim,sim,nao,organizada,classica,sim,sair,sim
28,noite,madrugador,medio,nao,nao,sim,nao,pedir,sim,sim,nao,sim,relaxada,classica,sim,sair,sim
29,noite,noturno,superior,nao,sim,nao,nao,pedir,nao,sim,sim,nao,relaxada,classica,sim,casa,sim
30,noite,noturno,medio,sim,sim,nao,nao,pedir,sim,sim,nao,sim,relaxada,funk,sim,sair,sim
31,manha,madrugador,fundamental,nao,nao,sim,nao,cozinhar,nao,sim,sim,nao,organizada,classica,nao,casa,nao
32,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,nao,nao,nao,nao,relaxada,sertanejo,nao,casa,nao
33,noite,noturno,medio,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,funk,sim,casa,sim
34,noite,noturno,superior,nao,sim,nao,nao,pedir,nao,sim,nao,sim,organizada,classica,sim,sair,sim
35,noite,madrugador,medio,sim,sim,nao,nao,pedir,sim,nao,sim,sim,relaxada,funk,nao,sair,sim
36,manha,madrugador,superior,nao,nao,sim,sim,cozinhar,sim,nao,nao,sim,relaxada,sertanejo,sim,casa,nao
37,manha,noturno,medio,sim,nao,nao,nao,pedir,sim,sim,sim,sim,relaxada,sertanejo,sim,casa,sim
38,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,nao,nao,nao,nao,organizada,sertanejo,nao,casa,nao
39,noite,noturno,medio,nao,sim,nao,nao,pedir,sim,sim,sim,nao,relaxada,funk,sim,sair,sim
40,manha,madrugador,fundamental,sim,nao,sim,sim,cozinhar,nao,nao,nao,nao,organizada,sertanejo,sim,casa,nao
41,noite,noturno,fundamental,sim,nao,sim,sim,cozinhar,nao,nao,nao,nao,organizada,rock,nao,casa,nao
42,noite,madrugador,medio,nao,sim,nao,nao,cozinhar,sim,nao,sim,nao,relaxada,funk,sim,sair,sim
43,noite,noturno,superior,nao,nao,nao,sim,pedir,sim,sim,sim,sim,relaxada,classica,sim,sair,sim
44,manha,noturno,superior,nao,sim,nao,sim,pedir,nao,sim,sim,sim,relaxada,classica,sim,sair,sim
45,manha,madrugador,superior,sim,nao,sim,sim,cozinhar,nao,sim,nao,nao,organizada,classica,nao,casa,nao
46,noite,madrugador,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,organizada,classica,nao,casa,sim
47,manha,noturno,fundamental,sim,nao,sim,sim,cozinhar,sim,nao,nao,nao,organizada,rock,nao,casa,nao
48,noite,noturno,fundamental,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,rock,sim,casa,sim
49,manha,madrugador,superior,sim,nao,nao,sim,cozinhar,nao,nao,nao,nao,organizada,sertanejo,nao,casa,nao
50,noite,noturno,superior,nao,sim,nao,nao,pedir,nao,sim,sim,sim,organizada,classica,sim,sair,sim
51,manha,madrugador,fundamental,sim,nao,sim,nao,cozinhar,nao,sim,sim,sim,organizada,rock,nao,casa,nao
52,manha,madrugador,fundamental,sim,nao,sim,nao,cozinhar,nao,sim,nao,nao,organizada,rock,sim,casa,nao
53,manha,madrugador,superior,sim,nao,sim,sim,pedir,nao,nao,nao,nao,organizada,sertanejo,nao,casa,nao
54,noite,madrugador,medio,nao,sim,nao,nao,pedir,sim,sim,sim,sim,relaxada,funk,nao,sair,sim
55,noite,madrugador,medio,nao,sim,nao,nao,pedir,sim,sim,nao,sim,relaxada,funk,nao,sair,sim
56,noite,madrugador,medio,nao,sim,nao,nao,cozinhar,sim,sim,sim,sim,relaxada,funk,nao,sair,sim
57,noite,noturno,medio,nao,sim,nao,nao,pedir,nao,sim,nao,sim,relaxada,funk,nao,sair,sim
58,noite,noturno,superior,nao,sim,nao,sim,cozinhar,sim,sim,sim,sim,relaxada,funk,sim,sair,sim
59,noite,noturno,superior,nao,sim,nao,nao,pedir,sim,sim,sim,sim,organizada,sertanejo,sim,sair,sim
